direction,planned_entry,entry_price,exit_price,stop,target,shares,bars_held,exit_reason,gross_pnl,costs,pnl,r_multiple,r_multiple_gross,exit_style,scale_out,ticker,strategy,strategy_label,regime,signal_date,entry_date,exit_date,index_symbol,signal_price,headline,currency,fx_rate,fx_in,fx_out,pnl_base,costs_base
long,1.1883,1.1888,1.1594,1.16,1.28,126235,39,stop,-3711.31,2.0,-3713.31,-1.02,-1.0,fixed,,EURUSD=X,high_52w,52-week high,TRENDING_UP,2017-09-01,2017-09-04,2017-10-27,^GSPC,1.19,At 99% of its 52-week high,GBP,1.0,1.0,1.0,-3713.31,2.0
long,1.2965,1.2972,1.3127,1.26,1.38,115695,40,timeout,1793.27,2.0,1791.27,0.44,0.46,fixed,,GBPUSD=X,high_52w,52-week high,SIDEWAYS,2017-09-01,2017-09-04,2017-10-30,^GSPC,1.29,At 97% of its 52-week high,GBP,1.0,1.0,1.0,1791.27,2.0
long,97.7508,97.7996,95.5816,95.63,102.63,1534,13,stop,-3402.41,2.0,-3404.41,-1.02,-1.0,fixed,,TLT,low_beta,Low beta,VOLATILITY_SQUEEZE,2017-09-18,2017-09-19,2017-10-06,^GSPC,97.63,"Defensive tilt — beta -0.38, still in its own uptrend",GBP,1.0,1.0,1.0,-3404.41,2.0
long,86.6931,86.7365,85.7037,85.89,88.61,1730,13,stop,-1786.74,2.0,-1788.74,-1.23,-1.18,fixed,,IEF,low_beta,Low beta,SIDEWAYS,2017-09-18,2017-09-19,2017-10-06,^GSPC,86.67,"Defensive tilt — beta -0.19, still in its own uptrend",GBP,1.0,1.0,1.0,-1788.74,2.0
long,49.91,49.935,55.6722,46.34,60.62,2801,40,timeout,16069.9,2.0,16067.9,1.61,1.62,fixed,,CL=F,ts_momentum,Time-series momentum,SIDEWAYS,2017-09-18,2017-09-19,2017-11-14,^GSPC,49.91,Trend-following long — its own 12-month return is +14.5%,GBP,1.0,1.0,1.0,16067.9,2.0
long,1307.9,1308.554,1276.9612,1277.6,1378.05,114,7,stop,-3601.58,2.0,-3603.58,-1.02,-1.0,fixed,,GC=F,low_beta,Low beta,TRENDING_UP,2017-09-18,2017-09-19,2017-09-28,^GSPC,1306.3,"Defensive tilt — beta -0.36, still in its own uptrend",GBP,1.0,1.0,1.0,-3603.58,2.0
long,722.4632,722.8244,677.2012,677.54,828.98,207,23,stop,-9444.0,760.12,-10204.12,-1.01,-1.0,fixed,,HSBA.L,ts_momentum,Time-series momentum,SIDEWAYS,2017-09-18,2017-09-19,2017-10-20,,715.4,Trend-following long — its own 12-month return is +23.8%,GBP,1.0,1.0,1.0,-10204.12,760.12
long,37.1211,37.1396,35.1124,35.13,42.33,4040,3,stop,-8189.89,2.0,-8191.89,-1.01,-1.0,fixed,,AAPL,ts_momentum,Time-series momentum,SIDEWAYS,2017-09-18,2017-09-19,2017-09-22,^GSPC,36.93,Trend-following long — its own 12-month return is +40.5%,GBP,1.0,1.0,1.0,-8191.89,2.0
long,218.3599,218.4691,224.9991,214.61,228.65,686,40,timeout,4479.58,2.0,4477.58,1.77,1.8,fixed,,SPY,ts_momentum,Time-series momentum,SIDEWAYS,2017-09-18,2017-09-19,2017-11-14,^GSPC,218.12,Trend-following long — its own 12-month return is +19.4%,GBP,1.0,1.0,1.0,4477.58,2.0
long,35.3222,35.3398,40.4177,33.0,41.16,4246,40,timeout,21560.76,2.0,21558.76,2.19,2.2,fixed,,AAPL,ts_momentum,Time-series momentum,SIDEWAYS,2017-09-25,2017-09-26,2017-11-21,^GSPC,35.04,Trend-following long — its own 12-month return is +35.9%,GBP,1.0,1.0,1.0,21558.76,2.0
