symbol,exposure_group
6A=F,AUD
AUDUSD=X,AUD
CL=F,CRUDE
USO,CRUDE
DIA,DOW
YM=F,DOW
6E=F,EUR
EURUSD=X,EUR
6B=F,GBP
GBPUSD=X,GBP
GC=F,GOLD
GLD,GOLD
IAU,GOLD
6J=F,JPY
USDJPY=X,JPY
NG=F,NATGAS
UNG,NATGAS
NQ=F,NDX
QQQ,NDX
IWM,RUSSELL
RTY=F,RUSSELL
SI=F,SILVER
SLV,SILVER
ES=F,SP500
IVV,SP500
SPY,SP500
VOO,SP500
AGG,USAGG
BND,USAGG
HYG,USHY
JNK,USHY
TLT,USRATES_LONG
VGLT,USRATES_LONG
ZB=F,USRATES_LONG
IEF,USRATES_MID
VGIT,USRATES_MID
ZN=F,USRATES_MID
SHY,USRATES_SHORT
ZF=F,USRATES_SHORT
ZT=F,USRATES_SHORT
