strategy,oos_verdict,in_cagr,in_sharpe,in_trades,out_cagr,out_sharpe,out_trades,cagr_pct,total_return_pct,volatility_pct,downside_deviation_pct,max_drawdown_pct,ulcer_index,sharpe,sortino,calmar,gain_to_pain,positive_periods_pct,best_period_pct,worst_period_pct,win_rate_pct,trades,pct_of_time_underwater,final_equity,years
BUY_AND_HOLD_EQUITY_ONLY,,,,,,,,23.75,741.64,23.81,16.88,38.48,12.05,1.01,1.43,0.62,1.2,53.61,11.9,-12.68,,500,84.3,6943886.13,10.0
BUY_AND_HOLD,,,,,,,,23.68,736.81,23.26,16.47,37.76,11.81,1.03,1.46,0.63,1.21,55.49,11.71,-12.27,,528,84.7,6664709.13,10.0
long_reversal,SURVIVED,8.61,0.6,127,26.23,1.69,259,20.18,207.56,14.96,9.94,22.62,7.64,1.3,1.96,0.89,1.25,50.82,5.67,-5.7,43.78,386,89.5,3057195.55,6.11
ALL_COMBINED,,,,,,,,19.37,388.5,23.01,16.01,40.31,15.71,0.88,1.27,0.48,1.18,52.12,9.7,-12.19,39.86,1405,88.8,4907707.48,8.96
BLEND,,,,,,,,19.2,380.99,16.95,11.6,23.67,8.56,1.12,1.64,0.81,1.22,51.78,4.68,-5.74,49.23,581,90.9,4808472.17,8.94
ts_momentum,SURVIVED,9.07,0.63,267,28.98,1.66,248,17.55,324.67,16.05,11.33,30.61,12.32,1.09,1.54,0.57,1.21,53.41,5.29,-6.18,51.17,514,88.9,4246072.29,8.94
dual_momentum,SURVIVED,2.73,0.24,277,28.25,1.43,245,14.07,220.96,18.16,12.72,28.94,13.91,0.82,1.16,0.49,1.16,51.84,6.1,-5.68,47.13,522,92.6,3239433.65,8.86
turn_of_month,SURVIVED,9.5,0.59,414,15.01,0.84,384,11.16,157.73,18.6,13.26,28.72,11.19,0.66,0.93,0.39,1.14,48.39,5.03,-7.52,49.75,798,92.3,2581231.74,8.95
short_reversal,SURVIVED,3.9,0.34,305,15.56,0.92,292,9.14,118.45,15.84,11.04,25.13,10.22,0.63,0.91,0.36,1.13,48.48,6.46,-7.02,42.62,596,94.0,2178819.17,8.94
high_52w,SURVIVED,8.58,0.74,231,7.16,0.58,221,8.28,103.76,12.97,9.22,27.8,10.26,0.68,0.95,0.3,1.13,51.27,5.09,-4.68,49.56,452,93.1,2036992.41,8.94
xs_momentum,inconclusive,-0.87,0.02,227,18.51,1.11,190,6.88,80.29,15.58,11.17,31.07,17.0,0.51,0.7,0.22,1.1,43.44,5.37,-5.19,44.84,417,96.1,1807395.52,8.86
low_beta,SURVIVED,6.15,0.69,239,6.81,0.88,200,6.81,80.2,8.69,6.12,14.4,5.25,0.8,1.14,0.47,1.16,52.08,4.3,-3.65,50.68,438,91.1,1801517.63,8.94
band_reversion,SURVIVED,5.15,0.36,713,6.95,0.48,612,6.34,73.5,18.43,12.81,39.56,16.93,0.43,0.61,0.16,1.09,49.21,11.44,-12.2,32.17,1318,93.5,1743029.34,8.96
low_volatility,SURVIVED,7.55,0.85,210,4.0,0.58,200,5.85,66.13,8.22,5.97,19.32,7.59,0.73,1.01,0.3,1.15,50.36,4.14,-3.01,53.66,410,92.2,1655890.29,8.94
halloween,inconclusive,-1.13,-0.0,175,11.75,0.85,128,4.0,40.0,14.2,10.21,37.56,19.91,0.35,0.48,0.11,1.09,28.35,5.12,-6.14,41.58,303,97.7,1397475.7,8.57
sector_momentum,SURVIVED,2.78,0.54,87,2.46,0.57,70,2.52,24.63,4.83,3.53,7.44,3.08,0.54,0.74,0.34,1.11,41.1,1.48,-2.27,47.77,157,94.2,1247836.12,8.86
