strategy,oos_verdict,cagr_pct,total_return_pct,volatility_pct,downside_deviation_pct,max_drawdown_pct,ulcer_index,sharpe,sortino,calmar,gain_to_pain,positive_periods_pct,best_period_pct,worst_period_pct,win_rate_pct,trades,pct_of_time_underwater,longest_underwater_periods,max_drawdown_start,max_drawdown_end,final_equity,years
BUY_AND_HOLD_EQUITY_ONLY,,23.75,741.57,23.82,16.88,38.48,12.05,1.01,1.43,0.62,1.2,53.61,11.9,-12.68,,500,84.3,580,2021-11-16,2022-10-14,694333.37,9.99
BUY_AND_HOLD,,23.13,700.46,23.24,16.47,37.76,11.81,1.01,1.43,0.61,1.2,55.45,11.71,-12.27,,528,84.8,580,2021-11-16,2022-10-14,666446.63,9.99
long_reversal,SURVIVED,22.54,246.4,14.78,9.75,22.89,7.06,1.45,2.2,0.98,1.29,51.19,6.47,-5.67,44.85,388,87.9,510,2021-06-25,2022-07-14,345145.65,6.11
ts_momentum,SURVIVED,16.41,288.9,15.67,11.07,29.56,11.48,1.05,1.48,0.56,1.2,53.54,5.29,-5.41,50.92,489,89.0,604,2021-11-05,2022-10-12,388843.85,8.94
ALL_COMBINED,,13.11,201.51,22.43,15.87,42.78,18.02,0.66,0.94,0.31,1.13,52.72,11.38,-12.18,37.96,1404,91.5,1006,2021-11-08,2023-05-04,302910.23,8.96
dual_momentum,SURVIVED,12.21,177.45,17.72,12.55,28.0,13.92,0.74,1.04,0.44,1.14,51.67,5.67,-5.64,45.95,518,93.8,799,2021-02-11,2023-10-26,280112.97,8.86
turn_of_month,SURVIVED,11.69,168.84,18.32,12.96,30.97,12.59,0.7,0.98,0.38,1.14,48.31,5.08,-6.68,49.12,794,92.5,754,2024-07-10,2025-05-06,269387.62,8.95
high_52w,SURVIVED,7.79,95.64,12.62,8.96,27.24,9.88,0.66,0.93,0.29,1.13,51.65,5.04,-4.63,49.78,446,93.3,538,2021-12-27,2023-05-04,195577.74,8.94
short_reversal,SURVIVED,7.11,84.78,15.66,11.06,28.84,11.51,0.52,0.73,0.25,1.1,48.56,5.51,-6.44,41.78,596,94.8,539,2018-08-08,2019-01-03,183730.15,8.94
xs_momentum,inconclusive,7.1,83.61,15.63,11.16,32.7,17.54,0.52,0.72,0.22,1.1,43.05,5.34,-4.58,44.55,422,96.0,1736,2018-01-26,2023-05-09,184068.66,8.86
band_reversion,SURVIVED,5.89,66.98,18.12,12.73,39.04,16.91,0.41,0.58,0.15,1.08,49.29,11.35,-12.22,32.2,1323,93.7,1289,2021-09-01,2022-10-20,167751.15,8.96
low_volatility,SURVIVED,4.19,44.36,5.96,4.28,11.28,4.76,0.72,1.0,0.37,1.14,49.68,1.5,-2.25,50.0,428,92.3,562,2021-12-27,2022-10-06,143835.52,8.94
low_beta,SURVIVED,4.15,43.79,7.37,5.35,16.95,5.49,0.59,0.81,0.24,1.11,51.35,2.54,-3.49,46.97,445,94.3,802,2021-01-08,2022-10-12,143748.35,8.94
halloween,inconclusive,2.85,27.22,13.76,9.79,40.72,23.01,0.27,0.38,0.07,1.07,26.96,5.69,-5.66,40.71,280,98.0,1376,2021-02-12,2023-11-02,127284.65,8.57
sector_momentum,SURVIVED,2.49,24.29,4.82,3.52,7.45,3.09,0.53,0.73,0.33,1.11,41.1,1.47,-2.26,47.77,157,94.2,536,2022-01-12,2023-05-04,124439.29,8.86
