strategy,band_reversion,dual_momentum,halloween,high_52w,long_reversal,low_beta,low_volatility,sector_momentum,short_reversal,ts_momentum,turn_of_month,xs_momentum
band_reversion,1.0,0.3789,0.3157,0.3325,0.2731,0.3012,0.4217,0.3543,0.4835,0.4045,0.3921,0.2881
dual_momentum,0.3789,1.0,0.6159,0.6999,0.4055,0.3644,0.5178,0.5827,0.5126,0.7752,0.6408,0.7296
halloween,0.3157,0.6159,1.0,0.4958,0.2407,0.2068,0.3843,0.3723,0.4087,0.6473,0.536,0.522
high_52w,0.3325,0.6999,0.4958,1.0,0.3902,0.4842,0.5723,0.588,0.429,0.7919,0.5788,0.5956
long_reversal,0.2731,0.4055,0.2407,0.3902,1.0,0.3181,0.3852,0.3937,0.4092,0.4164,0.3386,0.2913
low_beta,0.3012,0.3644,0.2068,0.4842,0.3181,1.0,0.6304,0.4864,0.3191,0.4029,0.2907,0.2935
low_volatility,0.4217,0.5178,0.3843,0.5723,0.3852,0.6304,1.0,0.6307,0.4758,0.5961,0.4768,0.4406
sector_momentum,0.3543,0.5827,0.3723,0.588,0.3937,0.4864,0.6307,1.0,0.4073,0.5851,0.4626,0.6005
short_reversal,0.4835,0.5126,0.4087,0.429,0.4092,0.3191,0.4758,0.4073,1.0,0.541,0.5096,0.3868
ts_momentum,0.4045,0.7752,0.6473,0.7919,0.4164,0.4029,0.5961,0.5851,0.541,1.0,0.678,0.628
turn_of_month,0.3921,0.6408,0.536,0.5788,0.3386,0.2907,0.4768,0.4626,0.5096,0.678,1.0,0.5264
xs_momentum,0.2881,0.7296,0.522,0.5956,0.2913,0.2935,0.4406,0.6005,0.3868,0.628,0.5264,1.0
