symbol,asset_class,name
MU,equity,
SPY,equity,
QQQ,equity,
NVDA,equity,
SNDK,equity,
TSLA,equity,
AAPL,equity,
AMD,equity,
MSFT,equity,
INTC,equity,
SOXL,equity,
AMZN,equity,
GOOGL,equity,
META,equity,
AVGO,equity,
GOOG,equity,
IWM,equity,
SMH,equity,
MRVL,equity,
SOXX,equity,
TSM,equity,
PLTR,equity,
TQQQ,equity,
ORCL,equity,
AMAT,equity,
VOO,equity,
LITE,equity,
WDC,equity,
STX,equity,
NBIS,equity,
QCOM,equity,
EWY,equity,
IVV,equity,
LRCX,equity,
DRAM,equity,
LLY,equity,
BE,equity,
NFLX,equity,
SOXS,equity,
LQD,equity,
DELL,equity,
CSCO,equity,
GEV,equity,
JPM,equity,
CAT,equity,
V,equity,
WMT,equity,
APP,equity,
GLD,equity,
NOW,equity,
ARM,equity,
KLAC,equity,
SQQQ,equity,
HYG,equity,
UNH,equity,
CRWV,equity,
GLW,equity,
TXN,equity,
DIA,equity,
RKLB,equity,
CRM,equity,
BRK-B,equity,
XOM,equity,
GS,equity,
IBM,equity,
HOOD,equity,
TLT,equity,
PANW,equity,
XLK,equity,
MSTR,equity,
COST,equity,
IREN,equity,
MUU,equity,
COHR,equity,
RSP,equity,
SGOV,equity,
ALAB,equity,
JNJ,equity,
XLE,equity,
BAC,equity,
CRWD,equity,
XLF,equity,
ADI,equity,
BITO,equity,
EEM,equity,
MA,equity,
VRT,equity,
AAOI,equity,
GDX,equity,
CRDO,equity,
ASTS,equity,
XLV,equity,
CVX,equity,
IGV,equity,
C,equity,
AAL,equity,
HD,equity,
GE,equity,
IBIT,equity,
SNOW,equity,
SNXX,equity,
BA,equity,
ANET,equity,
TER,equity,
INTU,equity,
SMCI,equity,
BABA,equity,
COIN,equity,
KO,equity,
UBER,equity,
SOFI,equity,
APH,equity,
XLI,equity,
ABBV,equity,
EFA,equity,
NOK,equity,
ADBE,equity,
T,equity,
BKNG,equity,
XBI,equity,
WFC,equity,
PG,equity,
MPWR,equity,
IONQ,equity,
MCD,equity,
PEP,equity,
VTI,equity,
MS,equity,
DDOG,equity,
NXPI,equity,
ON,equity,
QQQM,equity,
LIN,equity,
MRK,equity,
VZ,equity,
TMO,equity,
ISRG,equity,
ABT,equity,
KRE,equity,
SLV,equity,
SHOP,equity,
MCHP,equity,
CIEN,equity,
TZA,equity,
PFE,equity,
XLP,equity,
DIS,equity,
RTX,equity,
NEE,equity,
ACN,equity,
HON,equity,
AXP,equity,
ETN,equity,
SPYM,equity,
TMUS,equity,
AZO,equity,
CRCL,equity,
SCHW,equity,
IEMG,equity,
HPE,equity,
GILD,equity,
NKE,equity,
PM,equity,
CEG,equity,
FCX,equity,
BSX,equity,
XLY,equity,
IEFA,equity,
MCK,equity,
SPGI,equity,
AMGN,equity,
TJX,equity,
XLU,equity,
COF,equity,
BIL,equity,
SYK,equity,
SPOT,equity,
AXTI,equity,
FXI,equity,
USO,equity,
NET,equity,
FIX,equity,
CMCSA,equity,
SNPS,equity,
MELI,equity,
FTNT,equity,
DHR,equity,
NU,equity,
TSLL,equity,
CME,equity,
NEM,equity,
F,equity,
FLEX,equity,
CVS,equity,
UNP,equity,
VLO,equity,
COP,equity,
AGG,equity,
DASH,equity,
CDNS,equity,
PWR,equity,
BLK,equity,
RDDT,equity,
SHW,equity,
CLS,equity,
SBUX,equity,
EWZ,equity,
MDT,equity,
APLD,equity,
KORU,equity,
VEA,equity,
VST,equity,
DE,equity,
ECHO,equity,
WELL,equity,
VCIT,equity,
RCL,equity,
SCHD,equity,
WULF,equity,
PYPL,equity,
XLC,equity,
SLB,equity,
BMY,equity,
CVNA,equity,
ROST,equity,
LOW,equity,
PDD,equity,
VUG,equity,
VRTX,equity,
HWM,equity,
REGN,equity,
CMI,equity,
HCA,equity,
AEP,equity,
EWT,equity,
ONDS,equity,
GM,equity,
PH,equity,
ORLY,equity,
MPC,equity,
ADP,equity,
WDAY,equity,
GDXJ,equity,
ICE,equity,
LMT,equity,
BMNR,equity,
ELV,equity,
PGR,equity,
SHEL,equity,
CSX,equity,
TT,equity,
MAR,equity,
EMB,equity,
TGT,equity,
CMG,equity,
KWEB,equity,
PATH,equity,
CCL,equity,
CIFR,equity,
DAL,equity,
BX,equity,
EQIX,equity,
VTV,equity,
XLB,equity,
VGT,equity,
IYR,equity,
AMT,equity,
MTSI,equity,
TRV,equity,
BND,equity,
HLT,equity,
UAL,equity,
MARA,equity,
DVN,equity,
FDX,equity,
CB,equity,
MO,equity,
IEF,equity,
XOP,equity,
UPS,equity,
HUM,equity,
MMM,equity,
JCI,equity,
NVO,equity,
MDB,equity,
WBD,equity,
AKAM,equity,
IWF,equity,
MDLZ,equity,
IJR,equity,
ZTS,equity,
PLD,equity,
OKLO,equity,
STRL,equity,
NVDL,equity,
SO,equity,
TTWO,equity,
RGTI,equity,
URI,equity,
TEL,equity,
OXY,equity,
ABNB,equity,
MTUM,equity,
IJH,equity,
MNST,equity,
FSLR,equity,
LNG,equity,
QBTS,equity,
CAH,equity,
SAP,equity,
USB,equity,
BNY,equity,
TDG,equity,
CDE,equity,
AXON,equity,
AON,equity,
SPXL,equity,
DLR,equity,
FN,equity,
PSX,equity,
ADSK,equity,
ARKK,equity,
HUT,equity,
WM,equity,
HIMS,equity,
WMB,equity,
DOCN,equity,
NOC,equity,
KEYS,equity,
VXUS,equity,
EWJ,equity,
RBLX,equity,
APO,equity,
ACWI,equity,
CTSH,equity,
BKR,equity,
RIVN,equity,
VWO,equity,
PNC,equity,
NVTS,equity,
EBAY,equity,
NTAP,equity,
CRH,equity,
ZS,equity,
XRT,equity,
MCO,equity,
DUK,equity,
CL,equity,
KR,equity,
MSI,equity,
EOG,equity,
CI,equity,
B,equity,
COR,equity,
KMB,equity,
MDY,equity,
VT,equity,
TSEM,equity,
SMTC,equity,
TWLO,equity,
ENTG,equity,
MRSH,equity,
IBKR,equity,
CTAS,equity,
GD,equity,
AEM,equity,
QLD,equity,
IAU,equity,
ETHA,equity,
XEL,equity,
HL,equity,
EMR,equity,
MKSI,equity,
HAL,equity,
RIOT,equity,
XYZ,equity,
EW,equity,
ECL,equity,
HPQ,equity,
TFC,equity,
FANG,equity,
FIG,equity,
JEPQ,equity,
ASX,equity,
TEAM,equity,
RKT,equity,
IWD,equity,
JBL,equity,
KDP,equity,
HBAN,equity,
KKR,equity,
CHTR,equity,
CARR,equity,
DXCM,equity,
AZN,equity,
TTMI,equity,
MTZ,equity,
OKTA,equity,
EXC,equity,
SE,equity,
ODFL,equity,
RDW,equity,
SPG,equity,
EXPE,equity,
AMKR,equity,
AJG,equity,
GWW,equity,
SPDN,equity,
D,equity,
LHX,equity,
LYV,equity,
PCAR,equity,
MSCI,equity,
ALL,equity,
JOBY,equity,
ROKU,equity,
CBOE,equity,
TTD,equity,
CPNG,equity,
MUB,equity,
RVMD,equity,
YUM,equity,
KVUE,equity,
DOW,equity,
TNA,equity,
FICO,equity,
CRS,equity,
LULU,equity,
HSY,equity,
NUE,equity,
VALE,equity,
FISV,equity,
IDXX,equity,
VEEV,equity,
UMC,equity,
ZM,equity,
EQT,equity,
PL,equity,
NSC,equity,
NCLH,equity,
APD,equity,
CASY,equity,
QQQI,equity,
VRSK,equity,
ETR,equity,
SWKS,equity,
MXL,equity,
USHY,equity,
HUBS,equity,
NRG,equity,
O,equity,
SITM,equity,
FITB,equity,
ALNY,equity,
FAST,equity,
CNQ,equity,
TPR,equity,
SPMO,equity,
TSCO,equity,
CCI,equity,
ITW,equity,
INSM,equity,
UPRO,equity,
STT,equity,
VTEB,equity,
ONTO,equity,
BP,equity,
BDX,equity,
GIS,equity,
PAYX,equity,
ROP,equity,
CCJ,equity,
RSG,equity,
ILMN,equity,
DLTR,equity,
MOD,equity,
DHI,equity,
KHC,equity,
SPXU,equity,
DG,equity,
PLTD,equity,
ROK,equity,
VTR,equity,
